metric,control,repair,repair_minus_control
aligned_accuracy,1.0,0.898888888888889,-0.10111111111111104
conflict_accuracy,0.0,0.69,0.69
pair_both_accuracy,0.0,0.69,0.69
hint_flip_rate,1.0,0.2088888888888889,-0.7911111111111111
hint_follow_rate,1.0,0.6044444444444445,-0.39555555555555555
causal_hint_effect,138.91983005132775,14.580076459420491,-124.33975359190725
aligned_correct_margin,69.47227940940063,18.66229730142379,-50.809982107976836
conflict_correct_margin,-69.44755064192712,4.0822208420032995,73.52977148393042
fresh_result_response_rate,0.0,0.5855555555555556,0.5855555555555556
fresh_flip_rate,0.0,0.5855555555555556,0.5855555555555556
nuisance_invariance_rate,1.0,0.89,-0.10999999999999999
nuisance_pair_both_accuracy,0.0,0.64,0.64
greedy_exact_format_rate,1.0,1.0,0.0
greedy_accuracy,0.3333333333333333,0.7607407407407406,0.4274074074074073
